,dtype,n_missing,pct_missing,n_unique,sample_vals
BIRTHMO,int64,0,0.0,12,"[5, 12, 1, 2, 7]"
BIRTHYR,int64,0,0.0,106,"[1952, 1956, 1958, 1945, 1942]"
NACCAGEB,int64,0,0.0,90,"[70, 66, 63, 77, 81]"
SEX,int64,0,0.0,2,"[1, 2]"
HISPANIC,int64,0,0.0,3,"[0, 1, 9]"
HISPOR,int64,0,0.0,9,"[88, 1, 99, 2, 50]"
RACE,int64,0,0.0,7,"[1, 99, 3, 50, 5]"
RACESEC,int64,0,0.0,8,"[88, 3, 50, 99, 4]"
RACETER,int64,0,0.0,8,"[88, 50, 99, 2, 1]"
PRIMLANG,int64,0,0.0,8,"[1, 2, 8, 3, 6]"
HANDED,int64,0,0.0,4,"[2, 1, 3, 9]"
EDUC,int64,0,0.0,33,"[16, 12, 7, 20, 18]"
MARISTAT,int64,0,0.0,7,"[1, 3, 5, 6, 2]"
NACCLIVS,int64,0,0.0,6,"[4, 2, 1, 3, 5]"
RESIDENC,int64,0,0.0,5,"[1, 2, 9, 3, 4]"
TOBAC30,int64,0,0.0,4,"[0, -4, 1, 9]"
TOBAC100,int64,0,0.0,4,"[0, -4, 1, 9]"
SMOKYRS,int64,0,0.0,87,"[0, -4, 27, 4, 2]"
PACKSPER,int64,0,0.0,9,"[0, -4, 1, 3, 4]"
QUITSMOK,int64,0,0.0,95,"[888, -4, 42, 999, 29]"
ALCOCCAS,int64,0,0.0,4,"[1, -4, 0, 9]"
ALCFREQ,int64,0,0.0,8,"[2, -4, 4, 8, 0]"
INRELTO,int64,0,0.0,8,"[1, -4, 3, 2, 4]"
INKNOWN,int64,0,0.0,93,"[8, -4, 40, 999, 65]"
INLIVWTH,int64,0,0.0,3,"[1, -4, 0]"
INVISITS,int64,0,0.0,8,"[8, -4, 4, 5, 2]"
INCALLS,int64,0,0.0,8,"[8, -4, 1, 2, 3]"
